f1,f2,f3,f4,f5,f6,f7,Total age,Size,Index,Family
2,4,6,8,11,13,,44,6,576,2 4 6 8 11 13 
9,11,13,,,,,33,3,577,9 11 13    
1,9,11,13,,,,34,4,578,1 9 11 13   
2,9,11,13,,,,35,4,579,2 9 11 13   
3,9,11,13,,,,36,4,580,3 9 11 13   
1,3,9,11,13,,,37,5,581,1 3 9 11 13  
4,9,11,13,,,,37,4,582,4 9 11 13   
1,4,9,11,13,,,38,5,583,1 4 9 11 13  
2,4,9,11,13,,,39,5,584,2 4 9 11 13  
5,9,11,13,,,,38,4,585,5 9 11 13   
1,5,9,11,13,,,39,5,586,1 5 9 11 13  
2,5,9,11,13,,,40,5,587,2 5 9 11 13  
3,5,9,11,13,,,41,5,588,3 5 9 11 13  
1,3,5,9,11,13,,42,6,589,1 3 5 9 11 13 
6,9,11,13,,,,39,4,590,6 9 11 13   
1,6,9,11,13,,,40,5,591,1 6 9 11 13  
2,6,9,11,13,,,41,5,592,2 6 9 11 13  
3,6,9,11,13,,,42,5,593,3 6 9 11 13  
1,3,6,9,11,13,,43,6,594,1 3 6 9 11 13 
4,6,9,11,13,,,43,5,595,4 6 9 11 13  
1,4,6,9,11,13,,44,6,596,1 4 6 9 11 13 
2,4,6,9,11,13,,45,6,597,2 4 6 9 11 13 
7,9,11,13,,,,40,4,598,7 9 11 13   
1,7,9,11,13,,,41,5,599,1 7 9 11 13  
2,7,9,11,13,,,42,5,600,2 7 9 11 13  
3,7,9,11,13,,,43,5,601,3 7 9 11 13  
1,3,7,9,11,13,,44,6,602,1 3 7 9 11 13 
4,7,9,11,13,,,44,5,603,4 7 9 11 13  
1,4,7,9,11,13,,45,6,604,1 4 7 9 11 13 
2,4,7,9,11,13,,46,6,605,2 4 7 9 11 13 
5,7,9,11,13,,,45,5,606,5 7 9 11 13  
1,5,7,9,11,13,,46,6,607,1 5 7 9 11 13 
2,5,7,9,11,13,,47,6,608,2 5 7 9 11 13 
3,5,7,9,11,13,,48,6,609,3 5 7 9 11 13 
1,3,5,7,9,11,13,49,7,610,1 3 5 7 9 11 13
14,,,,,,,14,1,611,14      
1,14,,,,,,15,2,612,1 14     
2,14,,,,,,16,2,613,2 14     
3,14,,,,,,17,2,614,3 14     
1,3,14,,,,,18,3,615,1 3 14    
4,14,,,,,,18,2,616,4 14     
1,4,14,,,,,19,3,617,1 4 14    
2,4,14,,,,,20,3,618,2 4 14    
5,14,,,,,,19,2,619,5 14     
1,5,14,,,,,20,3,620,1 5 14    
2,5,14,,,,,21,3,621,2 5 14    
3,5,14,,,,,22,3,622,3 5 14    
1,3,5,14,,,,23,4,623,1 3 5 14   
6,14,,,,,,20,2,624,6 14     
1,6,14,,,,,21,3,625,1 6 14    
2,6,14,,,,,22,3,626,2 6 14    
3,6,14,,,,,23,3,627,3 6 14    
1,3,6,14,,,,24,4,628,1 3 6 14   
4,6,14,,,,,24,3,629,4 6 14    
1,4,6,14,,,,25,4,630,1 4 6 14   
2,4,6,14,,,,26,4,631,2 4 6 14   
7,14,,,,,,21,2,632,7 14     
1,7,14,,,,,22,3,633,1 7 14    
2,7,14,,,,,23,3,634,2 7 14    
3,7,14,,,,,24,3,635,3 7 14    
1,3,7,14,,,,25,4,636,1 3 7 14   
4,7,14,,,,,25,3,637,4 7 14    
1,4,7,14,,,,26,4,638,1 4 7 14   
2,4,7,14,,,,27,4,639,2 4 7 14   
5,7,14,,,,,26,3,640,5 7 14    
1,5,7,14,,,,27,4,641,1 5 7 14   
2,5,7,14,,,,28,4,642,2 5 7 14   
3,5,7,14,,,,29,4,643,3 5 7 14   
1,3,5,7,14,,,30,5,644,1 3 5 7 14  
8,14,,,,,,22,2,645,8 14     
1,8,14,,,,,23,3,646,1 8 14    
2,8,14,,,,,24,3,647,2 8 14    
3,8,14,,,,,25,3,648,3 8 14    
1,3,8,14,,,,26,4,649,1 3 8 14   
4,8,14,,,,,26,3,650,4 8 14    
1,4,8,14,,,,27,4,651,1 4 8 14   
2,4,8,14,,,,28,4,652,2 4 8 14   
5,8,14,,,,,27,3,653,5 8 14    
1,5,8,14,,,,28,4,654,1 5 8 14   
2,5,8,14,,,,29,4,655,2 5 8 14   
3,5,8,14,,,,30,4,656,3 5 8 14   
1,3,5,8,14,,,31,5,657,1 3 5 8 14  
6,8,14,,,,,28,3,658,6 8 14    
1,6,8,14,,,,29,4,659,1 6 8 14   
2,6,8,14,,,,30,4,660,2 6 8 14   
3,6,8,14,,,,31,4,661,3 6 8 14   
1,3,6,8,14,,,32,5,662,1 3 6 8 14  
4,6,8,14,,,,32,4,663,4 6 8 14   
1,4,6,8,14,,,33,5,664,1 4 6 8 14  
2,4,6,8,14,,,34,5,665,2 4 6 8 14  
9,14,,,,,,23,2,666,9 14     
1,9,14,,,,,24,3,667,1 9 14    
2,9,14,,,,,25,3,668,2 9 14    
3,9,14,,,,,26,3,669,3 9 14    
1,3,9,14,,,,27,4,670,1 3 9 14   
4,9,14,,,,,27,3,671,4 9 14    
1,4,9,14,,,,28,4,672,1 4 9 14   
2,4,9,14,,,,29,4,673,2 4 9 14   
5,9,14,,,,,28,3,674,5 9 14    
1,5,9,14,,,,29,4,675,1 5 9 14   
2,5,9,14,,,,30,4,676,2 5 9 14   
3,5,9,14,,,,31,4,677,3 5 9 14   
1,3,5,9,14,,,32,5,678,1 3 5 9 14  
6,9,14,,,,,29,3,679,6 9 14    
1,6,9,14,,,,30,4,680,1 6 9 14   
2,6,9,14,,,,31,4,681,2 6 9 14   
3,6,9,14,,,,32,4,682,3 6 9 14   
1,3,6,9,14,,,33,5,683,1 3 6 9 14  
4,6,9,14,,,,33,4,684,4 6 9 14   
1,4,6,9,14,,,34,5,685,1 4 6 9 14  
2,4,6,9,14,,,35,5,686,2 4 6 9 14  
7,9,14,,,,,30,3,687,7 9 14    
1,7,9,14,,,,31,4,688,1 7 9 14   
2,7,9,14,,,,32,4,689,2 7 9 14   
3,7,9,14,,,,33,4,690,3 7 9 14   
1,3,7,9,14,,,34,5,691,1 3 7 9 14  
4,7,9,14,,,,34,4,692,4 7 9 14   
1,4,7,9,14,,,35,5,693,1 4 7 9 14  
2,4,7,9,14,,,36,5,694,2 4 7 9 14  
5,7,9,14,,,,35,4,695,5 7 9 14   
1,5,7,9,14,,,36,5,696,1 5 7 9 14  
2,5,7,9,14,,,37,5,697,2 5 7 9 14  
3,5,7,9,14,,,38,5,698,3 5 7 9 14  
1,3,5,7,9,14,,39,6,699,1 3 5 7 9 14 
10,14,,,,,,24,2,700,10 14     
1,10,14,,,,,25,3,701,1 10 14    
2,10,14,,,,,26,3,702,2 10 14    
3,10,14,,,,,27,3,703,3 10 14    
1,3,10,14,,,,28,4,704,1 3 10 14   
4,10,14,,,,,28,3,705,4 10 14    
1,4,10,14,,,,29,4,706,1 4 10 14   
2,4,10,14,,,,30,4,707,2 4 10 14   
5,10,14,,,,,29,3,708,5 10 14    
1,5,10,14,,,,30,4,709,1 5 10 14   
2,5,10,14,,,,31,4,710,2 5 10 14   
3,5,10,14,,,,32,4,711,3 5 10 14   
1,3,5,10,14,,,33,5,712,1 3 5 10 14  
6,10,14,,,,,30,3,713,6 10 14    
1,6,10,14,,,,31,4,714,1 6 10 14   
2,6,10,14,,,,32,4,715,2 6 10 14   
3,6,10,14,,,,33,4,716,3 6 10 14   
1,3,6,10,14,,,34,5,717,1 3 6 10 14  
4,6,10,14,,,,34,4,718,4 6 10 14   
1,4,6,10,14,,,35,5,719,1 4 6 10 14  
2,4,6,10,14,,,36,5,720,2 4 6 10 14  
7,10,14,,,,,31,3,721,7 10 14    
1,7,10,14,,,,32,4,722,1 7 10 14   
2,7,10,14,,,,33,4,723,2 7 10 14   
3,7,10,14,,,,34,4,724,3 7 10 14   
1,3,7,10,14,,,35,5,725,1 3 7 10 14  
4,7,10,14,,,,35,4,726,4 7 10 14   
1,4,7,10,14,,,36,5,727,1 4 7 10 14  
2,4,7,10,14,,,37,5,728,2 4 7 10 14  
5,7,10,14,,,,36,4,729,5 7 10 14   
1,5,7,10,14,,,37,5,730,1 5 7 10 14  
2,5,7,10,14,,,38,5,731,2 5 7 10 14  
3,5,7,10,14,,,39,5,732,3 5 7 10 14  
1,3,5,7,10,14,,40,6,733,1 3 5 7 10 14 
8,10,14,,,,,32,3,734,8 10 14    
1,8,10,14,,,,33,4,735,1 8 10 14   
2,8,10,14,,,,34,4,736,2 8 10 14   
3,8,10,14,,,,35,4,737,3 8 10 14   
1,3,8,10,14,,,36,5,738,1 3 8 10 14  
4,8,10,14,,,,36,4,739,4 8 10 14   
1,4,8,10,14,,,37,5,740,1 4 8 10 14  
2,4,8,10,14,,,38,5,741,2 4 8 10 14  
5,8,10,14,,,,37,4,742,5 8 10 14   
1,5,8,10,14,,,38,5,743,1 5 8 10 14  
2,5,8,10,14,,,39,5,744,2 5 8 10 14  
3,5,8,10,14,,,40,5,745,3 5 8 10 14  
1,3,5,8,10,14,,41,6,746,1 3 5 8 10 14 
6,8,10,14,,,,38,4,747,6 8 10 14   
1,6,8,10,14,,,39,5,748,1 6 8 10 14  
2,6,8,10,14,,,40,5,749,2 6 8 10 14  
3,6,8,10,14,,,41,5,750,3 6 8 10 14  
1,3,6,8,10,14,,42,6,751,1 3 6 8 10 14 
4,6,8,10,14,,,42,5,752,4 6 8 10 14  
1,4,6,8,10,14,,43,6,753,1 4 6 8 10 14 
2,4,6,8,10,14,,44,6,754,2 4 6 8 10 14 
11,14,,,,,,25,2,755,11 14     
1,11,14,,,,,26,3,756,1 11 14    
2,11,14,,,,,27,3,757,2 11 14    
3,11,14,,,,,28,3,758,3 11 14    
1,3,11,14,,,,29,4,759,1 3 11 14   
4,11,14,,,,,29,3,760,4 11 14    
1,4,11,14,,,,30,4,761,1 4 11 14   
2,4,11,14,,,,31,4,762,2 4 11 14   
5,11,14,,,,,30,3,763,5 11 14    
1,5,11,14,,,,31,4,764,1 5 11 14   
2,5,11,14,,,,32,4,765,2 5 11 14   
3,5,11,14,,,,33,4,766,3 5 11 14   
1,3,5,11,14,,,34,5,767,1 3 5 11 14  
6,11,14,,,,,31,3,768,6 11 14    
1,6,11,14,,,,32,4,769,1 6 11 14   
2,6,11,14,,,,33,4,770,2 6 11 14   
3,6,11,14,,,,34,4,771,3 6 11 14   
1,3,6,11,14,,,35,5,772,1 3 6 11 14  
4,6,11,14,,,,35,4,773,4 6 11 14   
1,4,6,11,14,,,36,5,774,1 4 6 11 14  
2,4,6,11,14,,,37,5,775,2 4 6 11 14  
7,11,14,,,,,32,3,776,7 11 14    
1,7,11,14,,,,33,4,777,1 7 11 14   
2,7,11,14,,,,34,4,778,2 7 11 14   
3,7,11,14,,,,35,4,779,3 7 11 14   
1,3,7,11,14,,,36,5,780,1 3 7 11 14  
4,7,11,14,,,,36,4,781,4 7 11 14   
1,4,7,11,14,,,37,5,782,1 4 7 11 14  
2,4,7,11,14,,,38,5,783,2 4 7 11 14  
5,7,11,14,,,,37,4,784,5 7 11 14   
1,5,7,11,14,,,38,5,785,1 5 7 11 14  
2,5,7,11,14,,,39,5,786,2 5 7 11 14  
3,5,7,11,14,,,40,5,787,3 5 7 11 14  
1,3,5,7,11,14,,41,6,788,1 3 5 7 11 14 
8,11,14,,,,,33,3,789,8 11 14    
1,8,11,14,,,,34,4,790,1 8 11 14   
2,8,11,14,,,,35,4,791,2 8 11 14   
3,8,11,14,,,,36,4,792,3 8 11 14   
1,3,8,11,14,,,37,5,793,1 3 8 11 14  
4,8,11,14,,,,37,4,794,4 8 11 14   
1,4,8,11,14,,,38,5,795,1 4 8 11 14  
2,4,8,11,14,,,39,5,796,2 4 8 11 14  
5,8,11,14,,,,38,4,797,5 8 11 14   
1,5,8,11,14,,,39,5,798,1 5 8 11 14  
2,5,8,11,14,,,40,5,799,2 5 8 11 14  
3,5,8,11,14,,,41,5,800,3 5 8 11 14  
1,3,5,8,11,14,,42,6,801,1 3 5 8 11 14 
6,8,11,14,,,,39,4,802,6 8 11 14   
1,6,8,11,14,,,40,5,803,1 6 8 11 14  
2,6,8,11,14,,,41,5,804,2 6 8 11 14  
3,6,8,11,14,,,42,5,805,3 6 8 11 14  
1,3,6,8,11,14,,43,6,806,1 3 6 8 11 14 
4,6,8,11,14,,,43,5,807,4 6 8 11 14  
1,4,6,8,11,14,,44,6,808,1 4 6 8 11 14 
2,4,6,8,11,14,,45,6,809,2 4 6 8 11 14 
9,11,14,,,,,34,3,810,9 11 14    
1,9,11,14,,,,35,4,811,1 9 11 14   
2,9,11,14,,,,36,4,812,2 9 11 14   
3,9,11,14,,,,37,4,813,3 9 11 14   
1,3,9,11,14,,,38,5,814,1 3 9 11 14  
4,9,11,14,,,,38,4,815,4 9 11 14   
1,4,9,11,14,,,39,5,816,1 4 9 11 14  
2,4,9,11,14,,,40,5,817,2 4 9 11 14  
5,9,11,14,,,,39,4,818,5 9 11 14   
1,5,9,11,14,,,40,5,819,1 5 9 11 14  
2,5,9,11,14,,,41,5,820,2 5 9 11 14  
3,5,9,11,14,,,42,5,821,3 5 9 11 14  
1,3,5,9,11,14,,43,6,822,1 3 5 9 11 14 
6,9,11,14,,,,40,4,823,6 9 11 14   
1,6,9,11,14,,,41,5,824,1 6 9 11 14  
2,6,9,11,14,,,42,5,825,2 6 9 11 14  
3,6,9,11,14,,,43,5,826,3 6 9 11 14  
1,3,6,9,11,14,,44,6,827,1 3 6 9 11 14 
4,6,9,11,14,,,44,5,828,4 6 9 11 14  
1,4,6,9,11,14,,45,6,829,1 4 6 9 11 14 
2,4,6,9,11,14,,46,6,830,2 4 6 9 11 14 
7,9,11,14,,,,41,4,831,7 9 11 14   
1,7,9,11,14,,,42,5,832,1 7 9 11 14  
2,7,9,11,14,,,43,5,833,2 7 9 11 14  
3,7,9,11,14,,,44,5,834,3 7 9 11 14  
1,3,7,9,11,14,,45,6,835,1 3 7 9 11 14 
4,7,9,11,14,,,45,5,836,4 7 9 11 14  
1,4,7,9,11,14,,46,6,837,1 4 7 9 11 14 
2,4,7,9,11,14,,47,6,838,2 4 7 9 11 14 
5,7,9,11,14,,,46,5,839,5 7 9 11 14  
1,5,7,9,11,14,,47,6,840,1 5 7 9 11 14 
2,5,7,9,11,14,,48,6,841,2 5 7 9 11 14 
3,5,7,9,11,14,,49,6,842,3 5 7 9 11 14 
1,3,5,7,9,11,14,50,7,843,1 3 5 7 9 11 14
12,14,,,,,,26,2,844,12 14     
1,12,14,,,,,27,3,845,1 12 14    
2,12,14,,,,,28,3,846,2 12 14    
3,12,14,,,,,29,3,847,3 12 14    
1,3,12,14,,,,30,4,848,1 3 12 14   
4,12,14,,,,,30,3,849,4 12 14    
1,4,12,14,,,,31,4,850,1 4 12 14   
2,4,12,14,,,,32,4,851,2 4 12 14   
5,12,14,,,,,31,3,852,5 12 14    
1,5,12,14,,,,32,4,853,1 5 12 14   
2,5,12,14,,,,33,4,854,2 5 12 14   
3,5,12,14,,,,34,4,855,3 5 12 14   
1,3,5,12,14,,,35,5,856,1 3 5 12 14  
6,12,14,,,,,32,3,857,6 12 14    
1,6,12,14,,,,33,4,858,1 6 12 14   
2,6,12,14,,,,34,4,859,2 6 12 14   
3,6,12,14,,,,35,4,860,3 6 12 14   
1,3,6,12,14,,,36,5,861,1 3 6 12 14  
4,6,12,14,,,,36,4,862,4 6 12 14   
1,4,6,12,14,,,37,5,863,1 4 6 12 14  
2,4,6,12,14,,,38,5,864,2 4 6 12 14  
7,12,14,,,,,33,3,865,7 12 14    
1,7,12,14,,,,34,4,866,1 7 12 14   
2,7,12,14,,,,35,4,867,2 7 12 14   
3,7,12,14,,,,36,4,868,3 7 12 14   
1,3,7,12,14,,,37,5,869,1 3 7 12 14  
4,7,12,14,,,,37,4,870,4 7 12 14   
1,4,7,12,14,,,38,5,871,1 4 7 12 14  
2,4,7,12,14,,,39,5,872,2 4 7 12 14  
5,7,12,14,,,,38,4,873,5 7 12 14   
1,5,7,12,14,,,39,5,874,1 5 7 12 14  
2,5,7,12,14,,,40,5,875,2 5 7 12 14  
3,5,7,12,14,,,41,5,876,3 5 7 12 14  
1,3,5,7,12,14,,42,6,877,1 3 5 7 12 14 
8,12,14,,,,,34,3,878,8 12 14    
1,8,12,14,,,,35,4,879,1 8 12 14   
2,8,12,14,,,,36,4,880,2 8 12 14   
3,8,12,14,,,,37,4,881,3 8 12 14   
1,3,8,12,14,,,38,5,882,1 3 8 12 14  
4,8,12,14,,,,38,4,883,4 8 12 14   
1,4,8,12,14,,,39,5,884,1 4 8 12 14  
2,4,8,12,14,,,40,5,885,2 4 8 12 14  
5,8,12,14,,,,39,4,886,5 8 12 14   
1,5,8,12,14,,,40,5,887,1 5 8 12 14  
2,5,8,12,14,,,41,5,888,2 5 8 12 14  
3,5,8,12,14,,,42,5,889,3 5 8 12 14  
1,3,5,8,12,14,,43,6,890,1 3 5 8 12 14 
6,8,12,14,,,,40,4,891,6 8 12 14   
1,6,8,12,14,,,41,5,892,1 6 8 12 14  
2,6,8,12,14,,,42,5,893,2 6 8 12 14  
3,6,8,12,14,,,43,5,894,3 6 8 12 14  
1,3,6,8,12,14,,44,6,895,1 3 6 8 12 14 
4,6,8,12,14,,,44,5,896,4 6 8 12 14  
1,4,6,8,12,14,,45,6,897,1 4 6 8 12 14 
2,4,6,8,12,14,,46,6,898,2 4 6 8 12 14 
9,12,14,,,,,35,3,899,9 12 14    
1,9,12,14,,,,36,4,900,1 9 12 14   
2,9,12,14,,,,37,4,901,2 9 12 14   
3,9,12,14,,,,38,4,902,3 9 12 14   
1,3,9,12,14,,,39,5,903,1 3 9 12 14  
4,9,12,14,,,,39,4,904,4 9 12 14   
1,4,9,12,14,,,40,5,905,1 4 9 12 14  
2,4,9,12,14,,,41,5,906,2 4 9 12 14  
5,9,12,14,,,,40,4,907,5 9 12 14   
1,5,9,12,14,,,41,5,908,1 5 9 12 14  
2,5,9,12,14,,,42,5,909,2 5 9 12 14  
3,5,9,12,14,,,43,5,910,3 5 9 12 14  
1,3,5,9,12,14,,44,6,911,1 3 5 9 12 14 
6,9,12,14,,,,41,4,912,6 9 12 14   
1,6,9,12,14,,,42,5,913,1 6 9 12 14  
2,6,9,12,14,,,43,5,914,2 6 9 12 14  
3,6,9,12,14,,,44,5,915,3 6 9 12 14  
1,3,6,9,12,14,,45,6,916,1 3 6 9 12 14 
4,6,9,12,14,,,45,5,917,4 6 9 12 14  
1,4,6,9,12,14,,46,6,918,1 4 6 9 12 14 
2,4,6,9,12,14,,47,6,919,2 4 6 9 12 14 
7,9,12,14,,,,42,4,920,7 9 12 14   
1,7,9,12,14,,,43,5,921,1 7 9 12 14  
2,7,9,12,14,,,44,5,922,2 7 9 12 14  
3,7,9,12,14,,,45,5,923,3 7 9 12 14  
1,3,7,9,12,14,,46,6,924,1 3 7 9 12 14 
4,7,9,12,14,,,46,5,925,4 7 9 12 14  
1,4,7,9,12,14,,47,6,926,1 4 7 9 12 14 
2,4,7,9,12,14,,48,6,927,2 4 7 9 12 14 
5,7,9,12,14,,,47,5,928,5 7 9 12 14  
1,5,7,9,12,14,,48,6,929,1 5 7 9 12 14 
2,5,7,9,12,14,,49,6,930,2 5 7 9 12 14 
3,5,7,9,12,14,,50,6,931,3 5 7 9 12 14 
1,3,5,7,9,12,14,51,7,932,1 3 5 7 9 12 14
10,12,14,,,,,36,3,933,10 12 14    
1,10,12,14,,,,37,4,934,1 10 12 14   
2,10,12,14,,,,38,4,935,2 10 12 14   
3,10,12,14,,,,39,4,936,3 10 12 14   
1,3,10,12,14,,,40,5,937,1 3 10 12 14  
4,10,12,14,,,,40,4,938,4 10 12 14   
1,4,10,12,14,,,41,5,939,1 4 10 12 14  
2,4,10,12,14,,,42,5,940,2 4 10 12 14  
5,10,12,14,,,,41,4,941,5 10 12 14   
1,5,10,12,14,,,42,5,942,1 5 10 12 14  
2,5,10,12,14,,,43,5,943,2 5 10 12 14  
3,5,10,12,14,,,44,5,944,3 5 10 12 14  
1,3,5,10,12,14,,45,6,945,1 3 5 10 12 14 
6,10,12,14,,,,42,4,946,6 10 12 14   
1,6,10,12,14,,,43,5,947,1 6 10 12 14  
2,6,10,12,14,,,44,5,948,2 6 10 12 14  
3,6,10,12,14,,,45,5,949,3 6 10 12 14  
1,3,6,10,12,14,,46,6,950,1 3 6 10 12 14 
4,6,10,12,14,,,46,5,951,4 6 10 12 14  
1,4,6,10,12,14,,47,6,952,1 4 6 10 12 14 
2,4,6,10,12,14,,48,6,953,2 4 6 10 12 14 
7,10,12,14,,,,43,4,954,7 10 12 14   
1,7,10,12,14,,,44,5,955,1 7 10 12 14  
2,7,10,12,14,,,45,5,956,2 7 10 12 14  
3,7,10,12,14,,,46,5,957,3 7 10 12 14  
1,3,7,10,12,14,,47,6,958,1 3 7 10 12 14 
4,7,10,12,14,,,47,5,959,4 7 10 12 14  
1,4,7,10,12,14,,48,6,960,1 4 7 10 12 14 
2,4,7,10,12,14,,49,6,961,2 4 7 10 12 14 
5,7,10,12,14,,,48,5,962,5 7 10 12 14  
1,5,7,10,12,14,,49,6,963,1 5 7 10 12 14 
2,5,7,10,12,14,,50,6,964,2 5 7 10 12 14 
3,5,7,10,12,14,,51,6,965,3 5 7 10 12 14 
1,3,5,7,10,12,14,52,7,966,1 3 5 7 10 12 14
8,10,12,14,,,,44,4,967,8 10 12 14   
1,8,10,12,14,,,45,5,968,1 8 10 12 14  
2,8,10,12,14,,,46,5,969,2 8 10 12 14  
3,8,10,12,14,,,47,5,970,3 8 10 12 14  
1,3,8,10,12,14,,48,6,971,1 3 8 10 12 14 
4,8,10,12,14,,,48,5,972,4 8 10 12 14  
1,4,8,10,12,14,,49,6,973,1 4 8 10 12 14 
2,4,8,10,12,14,,50,6,974,2 4 8 10 12 14 
5,8,10,12,14,,,49,5,975,5 8 10 12 14  
1,5,8,10,12,14,,50,6,976,1 5 8 10 12 14 
2,5,8,10,12,14,,51,6,977,2 5 8 10 12 14 
3,5,8,10,12,14,,52,6,978,3 5 8 10 12 14 
1,3,5,8,10,12,14,53,7,979,1 3 5 8 10 12 14
6,8,10,12,14,,,50,5,980,6 8 10 12 14  
1,6,8,10,12,14,,51,6,981,1 6 8 10 12 14 
2,6,8,10,12,14,,52,6,982,2 6 8 10 12 14 
3,6,8,10,12,14,,53,6,983,3 6 8 10 12 14 
1,3,6,8,10,12,14,54,7,984,1 3 6 8 10 12 14
4,6,8,10,12,14,,54,6,985,4 6 8 10 12 14 
1,4,6,8,10,12,14,55,7,986,1 4 6 8 10 12 14
2,4,6,8,10,12,14,56,7,987,2 4 6 8 10 12 14
